uuid,name,type,permalink,cb_url,rank,created_at,updated_at,category_groups_list
e4d83fbb-33f0-a6f0-1399-a68245e8f8ac,Construction,category,construction,https://www.crunchbase.com/category/construction,,2014-04-20 07:58:47,2018-02-13 00:59:11,Real Estate
e2ea4bf5-a8e8-50e4-e803-64db842d7983,Information and Communications Technology (ICT),category,information-communications-technology-ict,https://www.crunchbase.com/category/information-communications-technology-ict,,2014-04-20 07:58:47,2018-08-15 00:48:20,Information Technology
e2cc6239-1a97-0063-a30f-fe3b5d86161b,Young Adults,category,young-adults,https://www.crunchbase.com/category/young-adults,,2014-04-20 07:58:47,2018-02-13 00:59:11,Community and Lifestyle
e1a4665e-8b66-feda-2432-39e907eceb6d,Privacy,category,privacy-e1a4,https://www.crunchbase.com/category/privacy-e1a4,,2014-04-20 07:58:47,2018-02-13 00:59:11,Privacy and Security
e173f255-3db1-9d02-74cb-f58a1f45b483,Electronics,category,electronics,https://www.crunchbase.com/category/electronics,,2014-04-20 07:58:47,2018-02-13 00:59:11,"Consumer Electronics,Hardware"
e12cc7de-d276-007e-7d89-bdf3f8d1ffe7,Telecommunications,category,telecommunications,https://www.crunchbase.com/category/telecommunications,,2014-04-20 07:58:47,2018-02-13 00:59:11,Hardware
dedf003e-1bb6-d63c-8aa2-72384f91e5f0,Gift Exchange,category,gift-exchange,https://www.crunchbase.com/category/gift-exchange,,2014-04-20 07:58:47,2018-02-13 00:59:11,Commerce and Shopping
dddb9b25-2585-b348-f887-90a8c0fc4e0f,Video Conferencing,category,video-conferencing,https://www.crunchbase.com/category/video-conferencing,,2014-04-20 07:58:47,2018-02-13 00:59:11,"Hardware,Information Technology,Internet Services,Messaging and Telecommunications,Software"
dd82e300-d885-87dd-148b-419b21c14cc9,Web Design,category,web-design,https://www.crunchbase.com/category/web-design,,2014-04-20 07:58:47,2018-02-13 00:59:11,Design
dd74fc36-a3bd-4b34-d995-c4366e67c0cd,Language Learning,category,language-learning,https://www.crunchbase.com/category/language-learning,,2014-04-20 07:58:47,2018-02-13 00:59:11,Education
dd456d82-95d9-4e89-3e19-12a629a598ad,Billing,category,billing,https://www.crunchbase.com/category/billing,,2014-04-20 07:58:47,2018-02-13 00:59:11,"Payments,Software"
dd09c747-194a-1304-b2ba-c467be9226c8,Architecture,category,architecture,https://www.crunchbase.com/category/architecture,,2014-04-20 07:58:47,2018-02-13 00:59:11,Real Estate
dcfb5d50-2943-35bd-7ad4-4999a96c3480,Professional Services,category,professional-services,https://www.crunchbase.com/category/professional-services,,2014-04-20 07:58:47,2018-02-13 00:59:11,Other
db343f85-e0e3-807d-0517-742163265ebb,Cloud Security,category,cloud-security-db34,https://www.crunchbase.com/category/cloud-security-db34,,2014-04-20 07:58:47,2018-02-13 00:59:11,"Information Technology,Privacy and Security"
db173067-d318-c3fc-357a-ac38fa64c111,Project Management,category,project-management-db17,https://www.crunchbase.com/category/project-management-db17,,2014-04-20 07:58:47,2018-02-13 00:59:11,"Administrative Services,Other"
dabab6af-bf12-00ca-b185-85cead095097,Video Games,category,video-games,https://www.crunchbase.com/category/video-games,,2014-04-20 07:58:47,2018-02-13 00:59:11,Gaming
da2d8638-5b11-da4b-129c-a7c7f2cd4e55,Dental,category,dental,https://www.crunchbase.com/category/dental,,2014-04-20 07:58:47,2018-02-13 00:59:11,Health Care
d922c006-3ba0-537a-edb5-379ca5767662,Music,category,music,https://www.crunchbase.com/category/music,,2014-04-20 07:58:47,2018-02-13 00:59:11,"Media and Entertainment,Music and Audio"
d8cc3046-5eec-55fd-eaeb-4847152c3f77,Universities,category,universities,https://www.crunchbase.com/category/universities,,2014-04-20 07:58:47,2018-02-13 00:59:11,Other
d818cc40-e0a2-aac2-84da-aeaa3dfeacc0,B2B,category,b2b,https://www.crunchbase.com/category/b2b,,2014-04-20 07:58:47,2018-02-13 00:59:11,Other
d4daa14a-4946-67f6-d0b9-0997bdb2b889,Music Education,category,music-education,https://www.crunchbase.com/category/music-education,,2014-04-20 07:58:47,2018-02-13 00:59:11,"Education,Media and Entertainment,Music and Audio"
d29852ab-4bbf-95f5-6087-563ff127de71,Brand Marketing,category,brand-marketing,https://www.crunchbase.com/category/brand-marketing,,2014-04-20 07:58:47,2018-02-13 00:59:11,Sales and Marketing
d2836636-d33e-d8c2-1189-32668d519b74,Nanotechnology,category,nanotechnology,https://www.crunchbase.com/category/nanotechnology,,2014-04-20 07:58:47,2018-02-13 00:59:11,Science and Engineering
d1c5bf86-cc15-0f81-7020-8988122283cc,Musical Instruments,category,musical-instruments,https://www.crunchbase.com/category/musical-instruments,,2014-04-20 07:58:47,2018-02-13 00:59:11,"Media and Entertainment,Music and Audio"
d1a166b5-2c1e-757c-b08e-6e5b7962e944,Fashion,category,fashion,https://www.crunchbase.com/category/fashion,,2014-04-20 07:58:47,2018-02-13 00:59:11,"Clothing and Apparel,Design"
ccb73ca1-4648-8df2-22ae-029e3500f4c1,Animal Feed,category,animal-feed,https://www.crunchbase.com/category/animal-feed,,2014-04-20 07:58:47,2018-02-13 00:59:11,Agriculture and Farming
c9461eef-9ba2-cb92-0d05-2d2d5f85141c,Advice,category,advice,https://www.crunchbase.com/category/advice,,2014-04-20 07:58:47,2018-02-13 00:59:11,Media and Entertainment
c704ac44-d7ba-7cbe-146c-1503d4e620f0,Journalism,category,journalism,https://www.crunchbase.com/category/journalism,,2014-04-20 07:58:47,2018-02-13 00:59:11,"Content and Publishing,Media and Entertainment"
